Cell_id	Site01	Site02	Site03
step9_VE_iblms369zydmqt8amgrd_cell9	R-17	R-5	R-142
step9_ExEc_jmclxul2x6fcwgqiymyy_cell9	R-17	R-8	R-3
step9_VE_p84e94ax4x7bjujxy7ue_cell1	R-17	R-8	R-15
step9_VE_dt1zyooaebih7jfyog3r_cell12	R-17	R-8	R-15
step9_VE_dt1zyooaebih7jfyog3r_cell17	R-17	R-8	R-15
step9_VE_iblms369zydmqt8amgrd_cell33	R-17	R-8	R-15
step9_PM_kpdnxg85a5qombh983pv_cell57	R-17	R-8	R-3
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell24	R-17	R-5	R-39
step9_VE_iblms369zydmqt8amgrd_cell29	R-17	R-5	R-39
step9_Foregut_64itb6yij735r7vqfut3_cell65	R-17	R-8	R-3
step9_PM_kpdnxg85a5qombh983pv_cell11	R-17	R-8	R-3
step9_Foregut_bnowzacs3e9lx8c7ierz_cell4	R-17	R-5	R-3
step9_MTr_tdg6knmclo92cua8lq8b_cell3	R-17	R-8	R-3
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell13	R-17	R-5	R-5
step9_ExEc_395sj8rhhjgcbgiphgxr_cell3	R-17	R-8	R-3
step9_NP_16cyihvimym522jcuaby_cell6	R-17	R-16	R-2
step9_A/C_ds2q4kalqkri4b1byfoj_cell52	R-17	R-16	R-2
step9_Node_kvpbk7oi2ydniesu7m28_cell23	R-17	R-16	R-2
step9_PM_4wybcp8sjowpblyxkdaz_cell8	R-17	R-5	R-1
step9_NP_hit8gicey5zr7mbaajge_cell11	R-17	R-5	R-14
step9_LM_ummziu8je45t8bwd1ssi_cell7	R-17	R-5	R-6
step9_LM_ummziu8je45t8bwd1ssi_cell52	R-17	R-5	R-29
step9_Foregut_64itb6yij735r7vqfut3_cell49	R-17	R-16	R-2
step9_Node_bh314u99snu3vvkkjrzy_cell3	R-17	R-16	R-2
step9_SE_4px85t8ebc9pblit7nfo_cell20	R-17	R-8	R-15
step9_SE_yw3ew6vii1be2orhxeb8_cell41	R-17	R-5	R-5
step9_ExEc_jmclxul2x6fcwgqiymyy_cell11	R-17	R-8	R-3
step9_ExEc_28yb9pgez73wp6bfoxpp_cell11	R-17	R-8	R-3
step9_Foregut1_9gaulrk46n65yqmvzw8y_cell1	R-17	R-8	R-3
step9_Node_o8nez1z564u4bgkfoi8m_cell27	R-17	R-8	R-15
step9_A/C_aqxukpwbp9bfzyy33zt9_cell12	R-17	R-8	R-15
step9_SE_yw3ew6vii1be2orhxeb8_cell29	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell56	R-17	R-8	R-3
step9_MTr_44btmtxi46cfowc9syvd_cell2	R-17	R-8	R-18
step9_CMy_qvd1xogbwba9rj7uj5mk_cell60	R-17	R-8	R-15
step9_Ery2_zw9lmt4zufshxoc82duc_cell33	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell58	R-17	R-5	R-2
step9_MTr_44btmtxi46cfowc9syvd_cell24	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell11	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell32	R-17	R-8	R-3
step9_ExEc_wsgftfkniik728dyrozi_cell35	R-17	R-2	R-2
step9_ExEc_wsgftfkniik728dyrozi_cell26	R-17	R-5	R-2
step9_Foregut_p15z9c326s599aze2mq2_cell1	R-17	R-5	R-39
step9_Ery2_wkuorw7cjueod1jo39ov_cell6	R-17	R-5	R-39
step9_ExE_1ydq5j6hqtviq3szwye8_cell4	R-17	R-16	R-2
step9_ExE_cvpyd2cjtjzssruojtxr_cell2	R-17	R-16	R-2
step9_ExE_1ydq5j6hqtviq3szwye8_cell7	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell21	R-17	R-8	R-3
step9_Al_yorklxqdhms66yfz43ce_cell12	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell26	R-17	R-8	R-3
step9_MTr_44btmtxi46cfowc9syvd_cell15	R-17	R-8	R-3
step9_CMy_8cwhctqtitt969yivr3t_cell8	R-17	R-8	R-15
step9_Node_kvpbk7oi2ydniesu7m28_cell30	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell21	R-17	R-8	R-3
step9_Foregut_64itb6yij735r7vqfut3_cell1	R-17	R-8	R-15
step9_Foregut_64itb6yij735r7vqfut3_cell4	R-17	R-8	R-15
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell6	R-17	R-5	R-2
step9_Foregut1_3ae9425majht8ho62hhe_cell4	R-17	R-5	R-2
step9_VE_kewg3vf3pyzl626kck29_cell14	R-17	R-5	R-23
step9_ExE_1ydq5j6hqtviq3szwye8_cell3	R-17	R-8	R-3
step9_SE_4px85t8ebc9pblit7nfo_cell18	R-17	R-8	R-15
step9_ExEc_28yb9pgez73wp6bfoxpp_cell19	R-17	R-8	R-3
step9_ExEc_jmclxul2x6fcwgqiymyy_cell8	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell27	R-17	R-8	R-3
step9_VE_dt1zyooaebih7jfyog3r_cell11	R-17	R-8	R-3
step9_VE_kewg3vf3pyzl626kck29_cell4	R-17	R-5	R-5
step9_VE_dt1zyooaebih7jfyog3r_cell16	R-17	R-5	R-5
step9_SE_yw3ew6vii1be2orhxeb8_cell34	R-17	R-8	R-15
step9_NP_vlugemo4cu261xpcfn4j_cell4	R-17	R-5	R-2
step9_ExE_1ydq5j6hqtviq3szwye8_cell25	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell33	R-17	R-8	R-3
step9_ExE_nibp8ht25gt3rmx9o78s_cell4	R-17	R-8	R-3
step9_CMy_qvd1xogbwba9rj7uj5mk_cell41	R-17	R-8	R-15
step9_ExEc_wsgftfkniik728dyrozi_cell21	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell8	R-17	R-8	R-3
step9_SE_yw3ew6vii1be2orhxeb8_cell13	R-17	R-8	R-15
step9_NP_vlugemo4cu261xpcfn4j_cell17	R-17	R-8	R-15
step9_PM_kpdnxg85a5qombh983pv_cell55	R-17	R-8	R-15
step9_PM_kpdnxg85a5qombh983pv_cell17	R-17	R-5	R-2
step9_PM_kpdnxg85a5qombh983pv_cell32	R-17	R-5	R-2
step9_Foregut1_gudjywy141fkwd599nkx_cell1	R-17	R-16	R-2
step9_Foregut1_9gaulrk46n65yqmvzw8y_cell9	R-17	R-16	R-2
step9_Foregut1_vdqe4sttl8x4tibsrkan_cell9	R-17	R-8	R-3
step9_VE_iblms369zydmqt8amgrd_cell19	R-17	R-8	R-3
step9_RM_s7yljlsdcjgpltg9vsbz_cell17	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell34	R-17	R-8	R-3
step9_ExE_1ydq5j6hqtviq3szwye8_cell26	R-17	R-8	R-3
step9_VE_fp7uuy3ecudnfyzvtnmf_cell3	R-17	R-8	R-15
step9_PM_kpdnxg85a5qombh983pv_cell4	R-17	R-5	R-2
step9_CMy_qvd1xogbwba9rj7uj5mk_cell46	R-17	R-5	R-2
step9_Foregut_bnowzacs3e9lx8c7ierz_cell16	R-17	R-5	R-2
step9_ExEc_jmclxul2x6fcwgqiymyy_cell4	R-17	R-8	R-2
step9_ExEc_28yb9pgez73wp6bfoxpp_cell5	R-17	R-8	R-1
step9_ExEc_28yb9pgez73wp6bfoxpp_cell25	R-17	R-8	R-1
